,sentence,aspect_term,polarity,from,to
4134,"for about eleven bucks you get a gigantic burrito (or tacos), margarita, and dessert.",margarita,neutral,62,71
4135,"A large is $ 20 , and toppings are about $ 3 each .",toppings,neutral,22,30
4136,i've had practically everything on their menu as i dine out alot but their burgers and mussels with fries are what bring me there every friday night.,menu,neutral,41,45
4137,The lunch special is an asbolute steal .,lunch special,positive,4,18
4138,We started with the scallops and asparagus and also had the soft shell crab as well as the cheese plate.,scallops,neutral,20,28
4139,I've had the same steak at Peter Lugers for double the price.,steak,neutral,18,23
4140,Didn't get a call so I thought all was ok-they didn't have a reservation and wouldn't seat us for over an hour even though no one else was waiting and I saw several empty tables.,tables,negative,171,177
4141,This coffee shop offers many varieties of food.,food,positive,42,46
4142,"It's charmingly small and that leads to an atmoshere that is extremely cozy and romantic, even.",atmoshere,positive,43,52
4143,"I sometimes long for their chicken fried steak and a beer, this place does the trick every time.",beer,neutral,53,57
4144,My dining partner ordered the turkey burger and declared this also to be the best one ever.,turkey burger,positive,30,43
4145,"Meat dishes now adorn the selections , although there 's still a large number of vegetarian-friendly choices .",vegetarian-friendly choices,positive,81,109
4146,Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!,served,negative,65,71
4147,But Bobby Flay really steps up at Bar Americain--his passion and heart shine through the food.,food,positive,89,93
4148,There are some reviews complaining about the menu but I had the same dish the first three times that I was there - and any specials that I have had have been excellent.,menu,neutral,45,49
4149,The menu might have well been written in a foreign language and the wait staff didnt have a translation dictionary!,menu,neutral,4,8
4150,The menu contains both Japanese fusion and plain Italian dishes - everyone should be able to find something they like.,Italian dishes,positive,49,63
4151,She gets 10 for her excellent service and advice .,service,positive,30,37
4152,"The waitstaff are all very busy, it's not outstanding service, but I've never been dealt with rudely.",waitstaff,negative,4,13
4153,"I ordered a dirty martini that was not dirty at all-and when I asked the waitress to make it dirtier, instead of reshaking/making it at the bar, she broght me over some olive juice in a cup!?",waitress,neutral,73,81
4154,"When my friend's chicken salad sandwich arrived, she noticed a nice crust, and it wasn't part of the bread.",crust,positive,68,73
4155,"The service was nice, although our food took longer than usual to arrive because it had been brought to the wrong table and accidently eaten.",service,positive,4,11
4156,"The cafe itself was really nice with comfortable outdoor chairs and tables, but the service could have been better.",service,negative,84,91
4157,Just make sure you make reservations a few days in advance because there aren't a lot of tables.,reservations,neutral,24,36
4158,"All of the dishes we had were very good, but the fries were a little on the salty side, which we actually didn't mind.",fries,negative,49,54
4159,The ingredients are fabulously fresh and the pizza's well-prepared -- but the crust doesn't match up to John's.,ingredients,positive,4,15
4160,"The prices were outrageous, but we assumed the quality would be commensurate, so we ordered.",prices,negative,4,10
4161,"Within 10 minutes of being seated at our table, the hostess asked us if we could move.",hostess,negative,52,59
4162,"For the quality of food , a little too expensive .",quality of food,negative,8,25
4163,"The service was terrible- our waiter was unable to make any recommendations, mumbled the special and failed to check back during the course of our meal.",service,negative,4,11
4164,There is also very limited seating and there can be a substantial wait in getting food at peak times .,food,neutral,82,86
4165,"All the money went into the interior decoration, none of it went to the chefs.",chefs,negative,72,77
4166,"Or better yet, if on a budget and want to do something romantic, stop at the bar for a drink and enjoy the sunset.",sunset,positive,107,113
4167,Decor is nice though service can be spotty.,Decor,positive,0,5
4168,When his to sons joined the mix they took Dads quest for the best food another step adding slowly to the menu a host of items that reflect the demigraphic of this still growing nabe.,food,positive,66,70
4169,"The irony of it all is that I tried the fish and chips at a sports bar across the street the following week, 1/2 the price (w/ fries included), and the portion was bigger and much tastier.",chips,neutral,49,54
4170,"I haven't tried their brunch, partly because their coffee is a bit weak to me.",brunch,neutral,22,28
4171,The decor is designed in a contemporary Japanese style restaurant.,decor,neutral,4,9
4172,The service was good and the price was decent but it wasn't enough to overcome the bland tasting food and the bland decor of the restaurant.,food,negative,97,101
4173,Our waiter didn't even bothered to ask for dessert.,dessert,neutral,43,50
4174,"Don't dine at Tamarind for the vegetarian dishes, they are simply not up to par with the non-veg selections.",vegetarian dishes,negative,31,48
4175,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,thai,neutral,104,108
4176,"Still , any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house ...",measures of liquers,positive,70,91
4177,The decor is a little plain and the seating is a touch too close but its worth it for the food.,food,positive,90,94
4178,"The food is spectacular , from the appitizers to the main course , and then of course the desserts , ( WOW ) you 'll need no more .",food,positive,4,8
4179,"Sit at the bar, order a glass of wine, and grab an appetizer: they'll also bring you olives, parmesan cheese, a huge loaf of delicious bread and 3 dipping sauces.",bar,neutral,11,14
4180,This place would be so much better served by being run by a group that actually understands customer service .,service,negative,101,108
4181,I've been coming here as a child and always come back for the taste.,taste,positive,62,67
4182,If you are looking for service and all the frills $$$ - Il Mulino is the best for both - if you are looking for a fabulous dinner in/out - this restaurant is it!,service,neutral,23,30
4183,IT IS WHAT MODERN CUISINE IS ALL ABOUT .,CUISINE,positive,18,25
4184,"The wait staff is very friendly , if not overly efficient .",wait staff,positive,4,15
4185,"The Halibut was too salty , dessert was so so ( do n't waste any of your calories ) and service was poor .",Halibut,negative,4,11
4186,The location and ambience is Ok but the food is what makes up for it.,location,neutral,4,12
4187,"We were a party of four, and after a long wait, were seated in a freezing corner.",corner,negative,74,80
4188,"Our server didn't have the sommelier stop by when we were trying to decide on wines, he never brought the bread we requested and didn't crack a smile the whole evening until he saw that I was paying the tab when he suddenly became nicer.",wines,neutral,78,83
4189,"worst margaritas in town,if you are going to order a battle of (white wine)they served hot.",white wine,neutral,64,74
4190,"My co-workers had to wait almost an hour for delivery , only to discover that what they got was not what they ordered .",delivery,negative,45,53
4191,I took 8 clients to lunch and was appaled by the overall service.,service,positive,57,64
4192,Upon entering Alta the bar and restaurant decor ironically misguide the patron.,bar,neutral,23,26
4193,"We were crammed next to the people who were seated to the right of us, who repeatedly took phone calls during dinner, while the rude wait staff did nothing despite the warning on the menu that cell phones were not to be used in the dining room.",wait staff,negative,133,143
4194,"Told us to sit anywhere, and when we sat he said the table was reserved.",table,negative,53,58
4195,20 minutes for our reservation but it gave us time to have a few cocktails and enjoy our surroundings and each other .,cocktails,positive,65,74
4196,"The Scene This storefront eatery is decked with colorful Mexican art and party kitsch, but it gets dim and moody enough in the evenings to suit a date.",Scene,neutral,4,9
4197,"A word to the wise : you ca n't dine here and disturb the maitre-D 's sense of '' table turnover '' , as whacked as it is , or else .",maitre-D,negative,58,66
4198,"Corner Bistro, despite the hoopla and critical praise, is nothing more than a burger joint with long lines.",lines,negative,101,106
4199,The staff was knowledgeable and full of personality.,staff,positive,4,9
4200,The octopus eaters were floored by the Octopus salad.,Octopus salad,positive,39,52
4201,"Order the panang duck , it 's fantastic .",panang duck,positive,10,22
4202,Our meals were a moderate portion and they weren't too spicy.,portion,negative,26,33
4203,My family and I ate here last night for our annual Christmas dinner with the family members who would rather spend the holidays with friends out-of-town .,Christmas dinner,neutral,51,68
4204,It was practically impossible to get the waitstaff's attention to order another bottle of wine.,waitstaff,negative,41,50
4205,The menu is very limited - i think we counted 4 or 5 entrees .,menu,negative,4,8
4206,With the exception of one late day when I came in for caffe and the waitress nearly rushed us out since dinner was coming around.,dinner,neutral,104,110
4207,"When we got there, they refused to seat us because our 4th wasn't there yet-even thought there were only two other people there and we assured them we would order some starters and drinks.",drinks,neutral,181,187
4208,When he mentioned that a pinot noir would be a decent match with two disparate plates of a first course (and the even further disparate second course- yes we informed him of our total meal choices PRIOR to our wine selection).,pinot noir,positive,25,35
4209,"Their pasta isn't spectacular nor is their marinara sauce, but their appetizers are wonderful.",appetizers,positive,69,79
4210,Only complaint is the pricing -- I believe it would be more reasonable to pay a dollar less on each item listed on the menu .,menu,negative,119,123
4211,Our waiter showed up two minutes later to take our order and showed up with our drinks 25 minutes later and they were not crowed.,drinks,neutral,80,86
4212,"I had their eggs benedict for brunch , which were the worst in my entire life , I tried removing the hollondaise sauce completely that was how failed it was .",eggs benedict,negative,12,26
4213,All of the apetizers are good and the Sangria is very good.,apetizers,positive,11,20
4214,"Somewhat agree with the previous reviews about service and the long wait but once seated, the food is well worth it.",service,negative,47,54
4215,PLUS the best wine can be found in the bar but they refused to sell us a bottle!!,bar,neutral,39,42
4216,Waiter took our drink order and then we didn't see him for 15 minutes.,Waiter,negative,0,6
4217,amazing fresh dogs but best of all endless toppings !!!,dogs,positive,14,18
4218,The owner truly caters to all your needs.,owner,positive,4,9
4219,"You must try Odessa stew or Rabbit stew; salads-all good; and kompot is soo refreshing during the hot summer day (they make it the way my mom does, reminds me of home a lot).",Odessa stew,positive,13,24
4220,"Needing a sugar fix, my husband and I walked in here to find a wall to wall adornment of delightful confections.",sugar,neutral,10,15
4221,then we ordered a dinosaur rolls and white tuna sashimi.,dinosaur rolls,neutral,18,32
4222,What came to our table was burned beyond recognition and stringy.,table,neutral,17,22
4223,"The menu sticks to standard Italian dishes--linguine with clam sauce, chicken parmigiana, and fettuccine Alfredo--but the reasonable prices add to the charm.",prices,positive,133,139
4224,And they have these home made potato chips at the bar that are the most delicious things in the world!,potato chips,positive,30,42
4225,And the fried clams had just enough kick to them to make 'em worth eating.,fried clams,positive,8,19
4226,We could have made a meal of the yummy dumplings from the dumpling menu .,dumplings,positive,39,48
4227,"Even if you hate beets, try the beet ravioli- you will not be disappointed!",beet ravioli,positive,32,44
4228,"This place has good potential, but needs a significant amount of work before we can justify spending that much money on indian food you can get everywhere else.",indian food,neutral,120,131
4229,"We were a bit chatty so it took us a while to decide what to order, but when we made it abundantly clear we were ready (closed the menu, looked around for our waiter) he was slammed from the recent filling of the space.",waiter,negative,159,165
4230,"I made reservations one week in advance and although I had to change it at the last minute, the hostess was very accommodating and we got seated promptly upstairs overlooking the Buddha.",hostess,positive,96,103
4231,The place was a bit busy when I got there so we ate at the bar.,bar,neutral,59,62
4232,"I though the service could have been better, the staff are not experience enough to know how to make the drinks without reading the instructions.",drinks,neutral,105,111
4233,"Apple sourdough pie, and orange cake are good, as is the bundt cake with a rich chocolaty filling and the cupcakes.",bundt cake,neutral,57,67
4234,Winnie and her staff are the best crew you can find serving you.,crew,positive,34,38
4235,"The waiter handed us menus consisting of about 7 entrees, and after telling us the specials, informed us that there was no chicken.",chicken,negative,123,130
4236,"never had a bad pizza, the staff has always been friendly, if not overly solicitous, and the only downside is the occasional wait on line outside.",pizza,positive,16,21
4237,"The atmosphere is still to die for, but the wine list has so clearly been pared down and marked up (as a result of higher foot traffic brought in by lots of rave reviews in local publications, perhaps?",wine list,negative,44,53
4238,"The bartender was skilled, the owners were very friendly, but the wait for my burrito was longer than I would have liked.",wait,negative,66,70
4239,"Our last experience: Waiting for a table at the bar (we always make reservations), the bartender ignored us until my husband intervened with one of the owners.",table,neutral,35,40
4240,"The bruscetta is a bit soggy , but the salads were fresh , included a nice mix of greens ( not iceberg ) all dishes are served piping hot from the kitchen .",salads,positive,39,45
4241,Fortunately the hostess was nice enough to take our appetizers off the bill after we complained.,appetizers,neutral,52,62
4242,"For appetizers , I recommend the shrimp fritters and dumplings .",shrimp fritters,positive,33,49
4243,"You'll have to wait for a long time if you're not in with the management or Fernando, but it's worth it, have some campari and cinzano at the bar!",bar,neutral,142,145
4244,Thius is a must for anyone who loves Shabu-Shabu .,Shabu-Shabu,positive,37,48
4245,"The crab croquettes were fried and completely lacking in crabmeat, our meat appetizer was dripping with grease and mostly fatty, and our main course was mushy rice drowned in some sauce with the consistency of baby food.",crabmeat,negative,57,65
4246,"The service is a bit slow , but harkens back to my years growing up in Napoli , Italy where things are not rushed and when you sit down for dinner the table is yours all night .",service,negative,4,11
4247,"Half an hour after our appetizer was cleared, the waiter told us it would take more time to get our main courses.",waiter,negative,50,56
4248,"Result (red velvet): Great texture, soft and velvety, nice hint of cocoa.",texture,positive,27,34
4249,Enjoy a drink at the bar over fresh shucked oysters.,bar,neutral,21,24
4250,"But the service was absolutely terrible, and we watied 45 minutes for food.",food,neutral,70,74
4251,my sister asked for iced tea twice and the waitress said they didn't have.,iced tea,neutral,20,28
4252,The absolute worst service I've ever experienced and the food was below average (when they actually gave people the meals they ordered).,meals,neutral,116,121
4253,My mother and I had our chairs bumped over a dozen times by hasty waiters.,chairs,neutral,24,30
4254,"The Scene Rows of glass-topped, red-tableclothed tables stretch back to the rear of the brightly lit space, whose white walls hold a few seafaring decorations--a boat painting here, a captain's wheel there.",lit space,positive,97,106
4255,I went with a friend from out the town - the best thing on the menu was the Veal.,menu,neutral,63,67
4256,"The sushi has been from average to below average, the wait service has always been sub-par the atmosphere goes from nice to really irritating (if you sit in the area beyond the kitchen, the acousitcs are horrid, everything echoes is extremely loud).",sushi,negative,4,9
4257,"At the end of the meal, I politely asked the waitress whether she would comp something, and she said yes.",meal,neutral,18,22
4258,I met five of my friends for dinner at Blockheads last Friday night and had a good time.,dinner,neutral,29,35
4259,"Went for lunch but wanted to order a la carte, which was so highly discouraged by the waiter (pushing the 10.",lunch,neutral,9,14
4260,"After 2 tries by the waiter to take it away ( we had n't even looked at it yet , we had full beers yet to drink ) , the manager approached and told us they needed the table for people with reservations .",beers,neutral,93,98
4261,The design of the space is good .,space,positive,18,23
4262,"Unfortunately, the food is awful, the staff really doesnt care about you, and the frozen hot chocolate is just a chocolate milkshake (it wasnt all that great) I went before lunch on a Thursday and it took me 2 hours to get in.",food,negative,19,23
4263,"I don't claim to know enough about authentic Italian cuisine but the food is good, provided they have the menu item you order.",menu,neutral,106,110
4264,"The food and service were fine , however the maitre-D was incredibly unwelcoming and arrogant .",maitre-D,negative,45,53
4265,"The place was empty except for one table, but they were just having drinks (red flag #1).",place,negative,4,9
4266,As always we had a great glass of wine while we waited .,glass of wine,positive,25,40
4267,"Oh yes , and if you are a fan of Indian oldies film stars , there are plenty of portraits of Indian actors and actresses in classic black white that adorn the walls , some of which , I would love to know where they obtained .",portraits,positive,80,89
4268,"Place is open till late , no dress code .",Place,positive,0,5
4269,My advice is to head south to Chinatown where you can get better food at half the price and that communal dining experience too!,food,positive,65,69
4270,The pizza is delicious and the proprietor is one of the nicest in NYC .,pizza,positive,4,9
4271,"Appetizers, entrees and desserts suffered from a lack of variety in taste--all were nicely presented but none rose much above the level of something the average person could either cook for onesself or get at a well-run diner.",Appetizers,neutral,0,10
4272,The dim sum servings here are a bit larger than I'm used to.,dim sum servings,neutral,4,20
4273,"The hot dogs are top notch , and they 're Slamwich is amazing !",hot dogs,positive,4,13
4274,"We got the tasting menu($100 for two), which was a selection of the signature dishes.",menu,positive,19,23
4275,The food has been consistant for years and it never lets you down.,food,positive,4,8
4276,"For the location , the prices are very reasonable .",prices,positive,23,29
4277,"Intrigued by the ambience of the restaurant, some friends and I decided to have dinner at Paladar on Saturday night.",dinner,neutral,80,86
4278,This is the BEST Shabu-Shabu Restaurant in the Try-State Area .,Shabu-Shabu Restaurant,positive,17,40
4279,"Crowds do come on weekends, so be sure to make reservations.",reservations,neutral,47,59
4280,"I love the simplicity and respect which was given to the food, as well the staff was freindly and knowledgable.",food,positive,57,61
4281,the waiter was unable to identify whether certain cheeses from the cheese course were cow or goat milk.,cheeses,neutral,50,57
4282,"The cafe itself was really nice with comfortable outdoor chairs and tables , but the service could have been better .",service,negative,85,92
4283,"drink, share your delicious entree's and then head to the bar to mingle.",drink,neutral,0,5
4284,"At peak times, the restaurant is overcrowded and tables are uncomfortably close.",tables,negative,49,55
4285,"I though it was impossible to get such appetizers as a seafood salad or a seafood soup for about $3, but the taste and portions won't let you have any doubts.",taste,negative,109,114
4286,"As expected, the beer selection is perfectly in synch with the menu.",menu,neutral,63,67
4287,"i went on a thurs night and it was a bit loud due to the many businessmen eating their dinner, but the food and service more than outdid the lack of peaceful dining.",service,negative,112,119
4288,I almost hesititate to write a review because the atmosphere was so great and I would hate for it too become to crowded.,atmosphere,positive,50,60
4289,I care more about the food and ambience .,food,neutral,22,26
4290,There's very little on their menu if you're trying to avoid cheese and oil - not many grilled entrees at all.,oil,negative,71,74
4291,The only con is the price ($110 for two people for a full meal).,price,neutral,20,25
4292,"At best, it's a mediocre restaurant, forget about the fish variety, I asked for Char (A sushi staple), and received a blank look from the waiter, same fish here as any grocery store.",waiter,negative,138,144
4293,"I especially recommend ordering the duck, foie gras, and beef cheeks although it's probably hard to go wrong with anything on the menu.","duck, foie gras",positive,36,51
4294,the negative reviews on city search are probably from jealous competing restaurants who realize they can't compete with Temple's entire positive attitude about the proper way to treat their customers and deliver top quality food.,food,positive,224,228
4295,"The staff is excellent, specjal: that girl behind the bar, european chic.",staff,positive,4,9
4296,I ordered the plane no fuss SALMON and it was honestly the best salmon EVER.,plane,neutral,14,19
4297,"There is NO waiting area - waiters, diners,and staff all converge in a tight space.",waiters,neutral,27,34
4298,"The slices are pricey for the neighborhood (and always has been), but the fact that it is always packed attests to the value.",neighborhood,neutral,30,42
4299,"While the server offered nothing, the host apologized, and said that he hoped that I would return again, perhaps for brunch.",server,negative,10,16
4300,"I'm a serious sucker for the buns listed in the appetizer section: big, fluffy, feels like true sustenance.",buns,negative,29,33
4301,I had to ask her three times before she finally came back with the dish Ive requested .,dish,neutral,67,71
4302,"We went again and sat at the bar this time, I had 5 pints of guinness and not one buy-back, I ordered a basket of onion rings and there were about 5 in the basket, the rest was filled with crumbs, the chili was not even edible.",chili,negative,201,206
4303,"Anyhow, there were a lot of Japanese people seated at the bar, eating chatting up the chefs, surely that's a good sign of authentic sushi.",seated,neutral,44,50
4304,I am happy i did the food was awsome.,food,positive,21,25
4305,The food was abundant and good but wasn't worth the unpleasant wait.,wait,negative,63,67
4306,"The wine is always good , the tapas are always yummy , especially with the warm pita bread .",wine,positive,4,8
4307,"The service , wine selection , ambiance are all outstanding and deserve recognition .",service,positive,4,11
4308,Our server never bothered to inquire as to whether or not we wanted coffee.,server,negative,4,10
4309,"Ziti Bolognese is baked in a similar sauce, with ground meat mixed in and cheese melted on top--the menu offers many variations on this theme.",menu,positive,100,104
4310,Waiter took our drink order and then we didn't see him for 15 minutes.,Waiter,negative,0,6
4311,Our waitress was so fun- I wanted her to join us for dinner.,waitress,positive,4,12
4312,If you can get a corner table you can see the entire room while eating in elegance.,corner table,neutral,17,29
4313,Noodle soup quantities are huge - so don't go for the rest of the menu - the rest are at par with the rest of Chinatown.,Noodle soup quantities,positive,0,22
4314,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive,4,8
4315,I ordered dessert and it was they gave me the wrong flavor of ice cream.,dessert,neutral,10,17
4316,"' When I reasoned with them that my dining partner already received her hot entree and was halfway done eating, and all I ordered was two rolls, the wait staff finally got the idea that maybe they should be trying to get me my order.",wait staff,negative,149,159
4317,"When he finally did, he was unable to make a gin and tonic -- couldn't find tonic.",gin and tonic,neutral,45,58
4318,Never in my life did I think that I could be satisfied both in taste and in quantity for $ 3.00 in NYC .,taste,positive,63,68
4319,I can't believe people complain about no cheese sticks?,cheese sticks,neutral,41,54
4320,There were 6 servers standing around watching me eat but they never asked if I needed anything or even offered me water.,water,neutral,114,119
4321,"You will pay a lot for the decore , but the food is no better or worse than a lot of other Chinese and Asian fusion places in NY .",decore,negative,27,33
4322,So some of the reviews here are accurate about the crowd and noise.,crowd,negative,51,56
4323,"Even though its good seafood , the prices are too high .",seafood,positive,21,28
4324,"Service is coddling and correct and there's no sense of hurry, so diners linger over a cheese course or a round of liqueurs.",Service,positive,0,7
4325,"There are only 8-10 tables, so you receive a lot of attention from the waiters, which is good.",waiters,positive,71,78
4326,Monday nights are a bargain at the $28 prix fix - this includes a three course meal plus *three* glasses of wine paired with each course.,course,neutral,130,136
4327,I have to say I have never had a disapointing meal here.,meal,positive,46,50
4328,I go back in line like three times on average until I can't walk anymore.,line,negative,13,17
4329,One time the waitress left in the middle of our dinner.,dinner,neutral,48,54
4330,"If you can't tolerate slow service at a pizza place, then spend more money elsewhere.",service,negative,27,34
4331,"Cheap pitchers of beer, cheap food that just stopped kicking minutes before going on your plate, lots of burgers, ribs, sandwiches.",burgers,neutral,105,112
4332,"The Food Despite a menu that seems larger than the restaurant, great care goes into the preparation of every dish.",menu,neutral,19,23
4333,"Denny's serves a better Grand Slam breakfast--and at a quarter of the price (I paid $21 w/o tip for b-fast--I went back a second time, because the restaurant was highly touted and I thought the first bad experience was a fluke.",price,neutral,70,75
4334,Every course was better than the next .,course,positive,6,12
4335,The owners Pat and John are very friendly and can often sit and have a beer with you.,owners Pat,positive,4,14
4336,We approached the host and manager politely after the meal but only received a simple and insincere Sorry.,host,negative,18,22
4337,"Unlike other places in NYC where the sandwiches you want only come as a triple-decker, here you can get what you want in a reasonably-sized portion (and price).",sandwiches,negative,37,47
4338,"The Food  Crave's two chefs have resumes that boast stints at Payard, Nobu and Industry (food), so it's no surprise their menu is full of unusual twists on old favorites.",Industry,neutral,79,87
4339,How can they survive serving mediocre food at exorbitant prices?!,food,neutral,38,42
4340,The food is great and I found it to be fresh and the prices are below to average compared to other Greek Restaurants.,prices,negative,53,59
4341,The portions are small but being that the food was so good makes up for that.,portions,negative,4,12
4342,"Even if you have to wait a bit for a reservation, the hostess will come over to apologize, update you on the wait and make sure you are comfortable.",hostess,positive,54,61
4343,"Casual and kid-friendly, the red-and-gold colored restaurants offer quick drive-thru or dine-in service with a menu of burgers, sandwiches and more.",burgers,neutral,119,126
4344,"Along with the regular items on the menus, they also offer some wonderful specials--and if an item is not on a menu, they always do their best to accommodate.",specials,positive,74,82
4345,"The Thali was small , thoroughly unremarkable , and $ 14.95 .",Thali,negative,4,9
4346,"A waiter looked me in the eye and said we did not order wine, as if to infer we were making this up.",wine,neutral,56,60
4347,"then, the waiter had nerve to charge me for the fruit salad and bloody mary (which we didn't drink) that came with the omelet (brunch special).",waiter,negative,10,16
4348,"The Food Meat is the name of the game here, especially if you are a fan of mutton: the legendary chop is rightly gamey and thick as a brick.",Food Meat,neutral,4,13
4349,"You'd expect one to have more dessert options, other than rice pudding.",rice pudding,negative,58,70
4350,The only saving grace is the sweet tea - but even that isn't worth the wait.,wait,negative,71,75
4351,"We got seated right away, We got a nice starter from the kitchen, unfortunately the waiter that brought it could not explain what it was, it was delicious though.",waiter,negative,84,90
4352,"i went on a thurs night and it was a bit loud due to the many businessmen eating their dinner, but the food and service more than outdid the lack of peaceful dining.",service,negative,112,119
4353,"We had an hour wait past our reservation time, so dealing with the bar scene was not helping things.",bar scene,negative,67,76
4354,"That is a problem since we paid about 20 bucks a dish , and had to order 5 dishes to get a decent taste .",dish,negative,49,53
4355,My suggestion is to eat family style because you 'll want to try the other dishes .,eat family style,positive,20,38
4356,For dinner I had their lobster risotto (phenomenal).,dinner,neutral,4,10
4357,"If you go for lunch as we did, get there when they open as seating is fairly limited.",lunch,neutral,14,19
4358,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,scallops,positive,11,19
4359,"Everything is always cooked to perfection, the service is excellent, the decor cool and understated.",service,positive,47,54
4360,I could have drank 4 glasses of water and still been parched - so watch out.,glasses of water,neutral,21,37
4361,"Since we already have our drinks there is no choice, so we are forced to pay full price.",price,negative,82,87
4362,"For the people who want great food plus great service , Roxy is a place to AVOID !",food,negative,30,34
4363,"It was my birthday and although they came out with of a bottle of bub, I felt embarrassed about the lack of service.",bottle,neutral,56,62
4364,"I asked the captain to bring the food in separate bags and he loudly said, Oh, I guess you are not getting lucky tonight.",food,neutral,33,37
4365,Those appetizers only appeared after we complained to the manager.,manager,negative,58,65
4366,The Scene Inconspicuous Bottino is an ideal stop for a light lunch or full dinner while gallery-hopping through Chelsea.,lunch,positive,61,66
4367,"The Scene This cosmopolitan cousin of the legendary Harry's Bar in Venice is frequented by a wealthy and insouciant crowd, the types who don't bother looking at menu prices when they order.",crowd,negative,116,121
4368,"The Scene Every time another loud, bouncy Mexican tune kicks in on the corner jukebox, you'd swear this small diner is on the brink of a full-on fiesta.",Scene,negative,4,9
4369,Our wine was not brought out until AFTER our entree was served.,entree,neutral,45,51
4370,Won't or Can't is not in the service directory.,service,positive,29,36
4371,"And the waitstaff has very little knowledge of the food, they served me the wrong dish and no one could identify what it was that they gave me, someone said pork chop, someone said lamb, and then they insisted it should be fine since it was the same price.",food,neutral,51,55
4372,Ask for the cocktail menu it has a plenty selection of drinks.,drinks,positive,55,61
4373,"I went there with family and even though we had reservations, we were seated 30 minutes late, the food took 45 minutes to arrive and when I got the wrong order, I had a hard time trying to find the server.",server,negative,198,204
4374,"I have had so many dinners here and it 's always been perfect - on a date with my husband , with my mom , with girlfriends and larger groups .",dinners,positive,19,26
4375,"Stay away from the two specialty rolls on the menu, though- too much avocado and rice will fill you up right quick.",menu,neutral,46,50
4376,"The problem was that we waited for a long time to get our waitress, we had to ask the bus boy for refills for drinks, and we waited for a long time to pay for our check.",drinks,neutral,110,116
4377,"The menu consisted of standard brassiere food, better then places like Balthazar etc.",menu,positive,4,8
4378,The chef will not alter any of the three tasting menus.,menus,positive,49,54
4379,Beef noodle soup is good as well .,Beef noodle soup,positive,0,18
4380,Our meal was capped of with the waiter rudely saying he needed the table for other customers.,meal,neutral,4,8
4381,"Highly recommended...  As stated, I haven't dined *in* the restaurant but stopped by there to pick up takeout and it seems a very relaxing place; also, the bar looks nice.",takeout,neutral,102,109
4382,I love the steak and eggs with a bloody mary that costs around $7 bucks.,eggs,positive,21,25
4383,"My g/f and I walked in one night, the owner greeted us at the door and took our coats, sat us in the back room (non-smoking at the time).",back room,neutral,101,110
4384,The only thing that strikes you is the decor ? ( not very pleasant ) .,decor,negative,39,44
4385,I found my dinner to be a bit on the heavy side and blamed the large portions.,dinner,neutral,11,17
4386,"He let us be seated, but told the hostess to make sure we didn't get menus until it was our arrival time.",hostess,negative,34,41
4387,We went around 9:30 on a Friday and it had died down a bit by then so the service was great!,service,positive,74,81
4388,"The place is small, but loaded with plenty of goodies that range from Italian inspired treats to Greek pastries all well prepared.",place,negative,4,9
4389,07 menu was a deal to try this hip tribeca restaurant but the wrong dessert was sent to the table.,table,neutral,92,97
4390,We sat at one of the 2 large tables with benches inside the door instead of at the bar - the only options available at 7:15 when we arrived.,bar,neutral,83,86
4391,"Went with a large group of 7 ladies before a show, and the staff was extremely obliging, even when one person was late and we had to wrap up her dinner to take to her.",staff,positive,59,64
4392,Two people having a multi-course dinner in Midtown Manhattan involving excellent food and it all came in under $50!!!,food,positive,81,85
4393,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,waitress,negative,32,40
4394,"They may love the wacky/tacky decore, the overly gracious host, Gus, and his staff, the loads of freebies (oranges, cookies, lollies and wet naps), but the food is just mediocre.",food,negative,156,160
4395,I am not sure if I would call the food here Indian as it is a fusion of what seems to be French with an Indian or exotic touch .,food,neutral,34,38
4396,The wine cellar was perfect for our group of 10 for dinner last week.,dinner,neutral,52,58
4397,I recently went to this restaurant with some co-workers for lunch and had an amazing time .,lunch,neutral,60,65
4398,My boyfriend and I recently had an early dinner at Artisanal and was satisfied with our experience .,dinner,positive,41,47
4399,"We had to ask for water even after we were asked what type we preferred, and then the busboy spilled it while he was pouring it out.",water,neutral,18,23
4400,And for families they have high chairs and waiters were really nice to my kid.,chairs,neutral,32,38
4401,"Once in the oven (electric, mind you), he shifts pies every few seconds to attain nicely-charred, chewy crust perfection.",pies,neutral,49,53
4402,I will be out with friends and all of a sudden I am hungry and I only crave one thing ... their Pizza .,Pizza,positive,96,101
4403,"I have been going to this restaurant for years, in the past the service was average and the food inconsistant.",service,neutral,64,71
4404,"The waiter took my boyfriend's order, snatched away the menus and stormed away from the table without even looking at me.",waiter,negative,4,10
4405,Our waiter was less then welcoming when taking our drink orders (apparently he doesn't like beer or milkshakes).,drink,neutral,51,56
4406,"The place is larger than most and features adequate seating unlike most joints , and has a bar which deserves a mention .",seating,positive,52,59
